2026-07-09 11:29:21.955 [main] INFO  [txnId=na] [ip=na] c.t.server.LoggingInitializer - Logging to date-based files: /Users/jainnibha/chandra-workspace/trustsign/config/logs/application-%d{yyyy-MM-dd}.log
2026-07-09 11:29:21.956 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Using config: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-09 11:29:22.275 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Starting Main using Java 25.0.3 with PID 26185 (/Users/jainnibha/chandra-workspace/trustsign/build/classes/java/main started by jainnibha in /Users/jainnibha/chandra-workspace/trustsign)
2026-07-09 11:29:22.275 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - No active profile set, falling back to 1 default profile: "default"
2026-07-09 11:29:22.622 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-09 11:29:22.649 [main] INFO  [txnId=na] [ip=na] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 355 ms
2026-07-09 11:29:22.858 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-07-09 11:29:22.862 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Started Main in 0.695 seconds (process running for 1.179)
2026-07-09 11:29:22.863 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - TrustSign API at http://0.0.0.0:8080/pki — Spring Boot MVC
2026-07-09 11:31:00.748 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-07-09 11:31:00.751 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-07-09 11:31:00.792 [http-nio-8080-exec-1] INFO  [txnId=a0aa5dffe77c4be2a99e0fa1fb2a5acf] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Reloaded config from disk: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-09 11:31:00.808 [http-nio-8080-exec-1] INFO  [txnId=a0aa5dffe77c4be2a99e0fa1fb2a5acf] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Auto-signing PDF at existing signature field request received
2026-07-09 11:43:24.000 [http-nio-8080-exec-2] INFO  [txnId=581afeef66374b4f91a3e6a5bee4a8d0] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Auto-signing PDF at existing signature field request received
2026-07-09 11:43:24.145 [http-nio-8080-exec-2] INFO  [txnId=581afeef66374b4f91a3e6a5bee4a8d0] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Reloaded configured public keys from disk: /Users/jainnibha/chandra-workspace/trustsign/config/public-key.pem
2026-07-09 11:43:27.306 [http-nio-8080-exec-2] INFO  [txnId=581afeef66374b4f91a3e6a5bee4a8d0] [ip=127.0.0.1] c.t.core.CertificateValidator - Reloaded truststore from disk: /Users/jainnibha/chandra-workspace/trustsign/config/truststore.jks
2026-07-09 11:43:27.309 [http-nio-8080-exec-2] INFO  [txnId=581afeef66374b4f91a3e6a5bee4a8d0] [ip=127.0.0.1] c.t.core.CertificateValidator - Strict certificate chain validation successful: subject='CN=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4,2.5.4.5=#134064383336633133666638633538313737393566393339306432383462323035636163333939363363383561646132636639653736343031643637656139393438,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=operations,O=XTRATRUST DIGISIGN PRIVATE LIMITED,C=IN', chainLength=4, root='CN=CCA India 2022,O=India PKI,C=IN'
2026-07-09 11:43:27.377 [http-nio-8080-exec-2] WARN  [txnId=581afeef66374b4f91a3e6a5bee4a8d0] [ip=127.0.0.1] com.trustsign.core.PdfSignerService - Signature image path does not exist or is not a file: /Users/jainnibha/chandra-workspace/trustsign/greentickrbg.png
2026-07-09 11:43:28.827 [http-nio-8080-exec-2] WARN  [txnId=581afeef66374b4f91a3e6a5bee4a8d0] [ip=127.0.0.1] com.trustsign.core.LtvEnabler - Document chain OCSP fetch failed: OCSP fetch failed for all endpoints: [http://ocvs.gov.in]
2026-07-09 11:46:02.227 [SpringApplicationShutdownHook] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-07-09 11:46:02.234 [tomcat-shutdown] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-07-09 14:06:25.773 [main] INFO  [txnId=na] [ip=na] c.t.server.LoggingInitializer - Logging to date-based files: /Users/jainnibha/chandra-workspace/trustsign/config/logs/application-%d{yyyy-MM-dd}.log
2026-07-09 14:06:25.774 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Using config: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-09 14:06:26.104 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Starting Main using Java 25.0.3 with PID 60999 (/Users/jainnibha/chandra-workspace/trustsign/build/classes/java/main started by jainnibha in /Users/jainnibha/chandra-workspace/trustsign)
2026-07-09 14:06:26.104 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - No active profile set, falling back to 1 default profile: "default"
2026-07-09 14:06:26.502 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-09 14:06:26.537 [main] INFO  [txnId=na] [ip=na] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 411 ms
2026-07-09 14:06:26.758 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-07-09 14:06:26.765 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Started Main in 0.782 seconds (process running for 1.305)
2026-07-09 14:06:26.767 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - TrustSign API at http://0.0.0.0:8080/pki — Spring Boot MVC
2026-07-09 14:06:52.842 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-07-09 14:06:52.843 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-07-09 14:06:52.871 [http-nio-8080-exec-1] INFO  [txnId=d46e5825b29c46fea9e3d7a96fad9ac8] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Reloaded config from disk: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-09 14:06:52.887 [http-nio-8080-exec-1] INFO  [txnId=d46e5825b29c46fea9e3d7a96fad9ac8] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Auto-signing PDF request received
2026-07-09 14:06:52.888 [http-nio-8080-exec-1] ERROR [txnId=d46e5825b29c46fea9e3d7a96fad9ac8] [ip=127.0.0.1] com.trustsign.server.ApiServlet - PDF file is null or empty
2026-07-09 14:07:06.356 [http-nio-8080-exec-2] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Auto-signing PDF request received
2026-07-09 14:07:06.358 [http-nio-8080-exec-2] ERROR [txnId=abc123] [ip=127.0.0.1] com.trustsign.server.ApiServlet - PDF file is null or empty
2026-07-09 14:08:08.054 [http-nio-8080-exec-3] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Auto-signing PDF request received
2026-07-09 14:08:11.367 [http-nio-8080-exec-3] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Reloaded configured public keys from disk: /Users/jainnibha/chandra-workspace/trustsign/config/public-key.pem
2026-07-09 14:08:13.103 [http-nio-8080-exec-3] INFO  [txnId=abc123] [ip=127.0.0.1] c.t.core.CertificateValidator - Reloaded truststore from disk: /Users/jainnibha/chandra-workspace/trustsign/config/truststore.jks
2026-07-09 14:08:13.107 [http-nio-8080-exec-3] INFO  [txnId=abc123] [ip=127.0.0.1] c.t.core.CertificateValidator - Strict certificate chain validation successful: subject='CN=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4,2.5.4.5=#134064383336633133666638633538313737393566393339306432383462323035636163333939363363383561646132636639653736343031643637656139393438,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=operations,O=XTRATRUST DIGISIGN PRIVATE LIMITED,C=IN', chainLength=4, root='CN=CCA India 2022,O=India PKI,C=IN'
2026-07-09 14:08:13.117 [http-nio-8080-exec-3] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-07-09 14:08:13.301 [http-nio-8080-exec-3] WARN  [txnId=abc123] [ip=127.0.0.1] com.trustsign.core.PdfSignerService - Signature image path does not exist or is not a file: /Users/jainnibha/chandra-workspace/trustsign/greentickrbg.png
2026-07-09 14:08:14.293 [http-nio-8080-exec-3] WARN  [txnId=abc123] [ip=127.0.0.1] com.trustsign.core.LtvEnabler - Document chain OCSP fetch failed: OCSP fetch failed for all endpoints: [http://ocvs.gov.in]
2026-07-09 14:08:14.494 [http-nio-8080-exec-3] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.core.PdfSignerService - PDF signing completed in 1377 ms. timestamped=false, tsaFallback=false
2026-07-09 14:08:14.495 [http-nio-8080-exec-3] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.server.ApiServlet - PDF signed. alias=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4's XtraTrust Sub CA 2022 ID pages=1 timestamped=false tookMs=1387
2026-07-09 14:09:51.435 [http-nio-8080-exec-4] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Auto-signing PDF request received
2026-07-09 14:09:52.250 [http-nio-8080-exec-4] INFO  [txnId=abc123] [ip=127.0.0.1] c.t.core.CertificateValidator - Strict certificate chain validation successful: subject='CN=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4,2.5.4.5=#134064383336633133666638633538313737393566393339306432383462323035636163333939363363383561646132636639653736343031643637656139393438,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=operations,O=XTRATRUST DIGISIGN PRIVATE LIMITED,C=IN', chainLength=4, root='CN=CCA India 2022,O=India PKI,C=IN'
2026-07-09 14:09:52.254 [http-nio-8080-exec-4] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-07-09 14:09:52.296 [http-nio-8080-exec-4] WARN  [txnId=abc123] [ip=127.0.0.1] com.trustsign.core.PdfSignerService - Signature image path does not exist or is not a file: /Users/jainnibha/chandra-workspace/trustsign/greentickrbg.png
2026-07-09 14:09:52.894 [http-nio-8080-exec-4] WARN  [txnId=abc123] [ip=127.0.0.1] com.trustsign.core.LtvEnabler - Document chain OCSP fetch failed: OCSP fetch failed for all endpoints: [http://ocvs.gov.in]
2026-07-09 14:09:53.015 [http-nio-8080-exec-4] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.core.PdfSignerService - PDF signing completed in 761 ms. timestamped=false, tsaFallback=false
2026-07-09 14:09:53.015 [http-nio-8080-exec-4] INFO  [txnId=abc123] [ip=127.0.0.1] com.trustsign.server.ApiServlet - PDF signed. alias=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4's XtraTrust Sub CA 2022 ID pages=1 timestamped=false tookMs=761
2026-07-09 14:13:39.786 [http-nio-8080-exec-7] INFO  [txnId=3d25be96f2cf41f780d436b88d8c6a18] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /map-certificate: backed up existing truststore to /Users/jainnibha/chandra-workspace/trustsign/config/truststore.jks.bak
2026-07-09 14:13:39.794 [http-nio-8080-exec-7] WARN  [txnId=3d25be96f2cf41f780d436b88d8c6a18] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Cannot open existing truststore (keystore password was incorrect); creating fresh truststore.
2026-07-09 14:13:39.812 [http-nio-8080-exec-7] INFO  [txnId=3d25be96f2cf41f780d436b88d8c6a18] [ip=127.0.0.1] c.t.core.CertificateValidator - Truststore HMAC updated: /Users/jainnibha/chandra-workspace/trustsign/config/.truststore-integrity
2026-07-09 14:13:39.814 [http-nio-8080-exec-7] INFO  [txnId=3d25be96f2cf41f780d436b88d8c6a18] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /map-certificate: mapped 1 cert(s), leaf=CN=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4,2.5.4.5=#134064383336633133666638633538313737393566393339306432383462323035636163333939363363383561646132636639653736343031643637656139393438,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=operations,O=XTRATRUST DIGISIGN PRIVATE LIMITED,C=IN, serial=6d6b6bc104
2026-07-09 14:19:25.555 [http-nio-8080-exec-9] INFO  [txnId=83e5fe88583944a8b011e52c1fd58f5d] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Reloaded config from disk: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-09 14:26:18.991 [http-nio-8080-exec-12] INFO  [txnId=3d0c06a7f1f14e248d7444b18bc26d84] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=tokenPresence start
2026-07-09 14:26:19.065 [http-nio-8080-exec-12] INFO  [txnId=3d0c06a7f1f14e248d7444b18bc26d84] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=tokenPresence ok library=/usr/local/lib/libcastle_v2.1.0.0.dylib
2026-07-09 14:26:19.065 [http-nio-8080-exec-12] INFO  [txnId=3d0c06a7f1f14e248d7444b18bc26d84] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateExtraction start
2026-07-09 14:26:19.066 [http-nio-8080-exec-12] INFO  [txnId=3d0c06a7f1f14e248d7444b18bc26d84] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Reloaded configured public keys from disk: /Users/jainnibha/chandra-workspace/trustsign/config/public-key.pem
2026-07-09 14:26:19.067 [http-nio-8080-exec-12] INFO  [txnId=3d0c06a7f1f14e248d7444b18bc26d84] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateExtraction ok alias=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4's XtraTrust Sub CA 2022 ID mode=public-key-match
2026-07-09 14:26:19.067 [http-nio-8080-exec-12] INFO  [txnId=3d0c06a7f1f14e248d7444b18bc26d84] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateValidity start alias=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4's XtraTrust Sub CA 2022 ID
2026-07-09 14:26:19.067 [http-nio-8080-exec-12] INFO  [txnId=3d0c06a7f1f14e248d7444b18bc26d84] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateValidity ok
2026-07-09 14:26:19.067 [http-nio-8080-exec-12] INFO  [txnId=3d0c06a7f1f14e248d7444b18bc26d84] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateChainValidation start
2026-07-09 14:35:28.666 [SpringApplicationShutdownHook] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-07-09 14:35:28.671 [tomcat-shutdown] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-07-09 14:35:33.081 [main] INFO  [txnId=na] [ip=na] c.t.server.LoggingInitializer - Logging to date-based files: /Users/jainnibha/chandra-workspace/trustsign/config/logs/application-%d{yyyy-MM-dd}.log
2026-07-09 14:35:33.082 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Using config: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-09 14:35:33.415 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Starting Main using Java 25.0.3 with PID 67515 (/Users/jainnibha/chandra-workspace/trustsign/build/classes/java/main started by jainnibha in /Users/jainnibha/chandra-workspace/trustsign)
2026-07-09 14:35:33.415 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - No active profile set, falling back to 1 default profile: "default"
2026-07-09 14:35:33.788 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-09 14:35:33.818 [main] INFO  [txnId=na] [ip=na] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 381 ms
2026-07-09 14:35:34.073 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-07-09 14:35:34.078 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Started Main in 0.785 seconds (process running for 1.291)
2026-07-09 14:35:34.079 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - TrustSign API at http://0.0.0.0:8080/pki — Spring Boot MVC
2026-07-09 14:35:40.198 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-07-09 14:35:40.199 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-07-09 14:35:40.219 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Reloaded config from disk: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-09 14:35:40.232 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=tokenPresence start
2026-07-09 14:35:43.522 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=tokenPresence ok library=/usr/local/lib/libcastle_v2.1.0.0.dylib
2026-07-09 14:35:43.522 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateExtraction start
2026-07-09 14:35:43.530 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Reloaded configured public keys from disk: /Users/jainnibha/chandra-workspace/trustsign/config/public-key.pem
2026-07-09 14:35:43.530 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateExtraction ok alias=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4's XtraTrust Sub CA 2022 ID mode=public-key-match
2026-07-09 14:35:43.530 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateValidity start alias=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4's XtraTrust Sub CA 2022 ID
2026-07-09 14:35:43.530 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateValidity ok
2026-07-09 14:35:43.530 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] com.trustsign.server.ApiServlet - /validate-token step=certificateChainValidation start
2026-07-09 14:35:43.556 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] c.t.core.CertificateValidator - Reloaded truststore from disk: /Users/jainnibha/chandra-workspace/trustsign/config/truststore.jks
2026-07-09 14:35:43.561 [http-nio-8080-exec-1] INFO  [txnId=a92534cc0b894974b85e82631e27d399] [ip=127.0.0.1] c.t.core.CertificateValidator - Strict certificate chain validation successful: subject='CN=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4,2.5.4.5=#134064383336633133666638633538313737393566393339306432383462323035636163333939363363383561646132636639653736343031643637656139393438,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=operations,O=XTRATRUST DIGISIGN PRIVATE LIMITED,C=IN', chainLength=4, root='CN=CCA India 2022,O=India PKI,C=IN'
